,Actual,Predicted
144,123.839996,-154.9477083107713
21,115.709999,-680.9104463478807
64,113.540001,-502.065494718242
204,126.449997,42.39845257790057
166,124.010002,-128.5174104592088
145,123.16999799999999,-154.06669634788068
151,121.82,-147.01860064475568
88,124.209999,-410.440494718242
28,110.769997,-670.3383314034227
246,124.489998,216.83834820778338
150,121.230003,-147.8996126076463
184,128.899994,-43.94048327415021
115,126.269997,-314.4104463478807
81,125.959999,-418.3695833107713
106,129.25,-325.8635713478807
23,111.160004,-677.38640994041
56,118.720001,-571.6652566811326
37,113.32,-658.885204496074
83,126.559998,-416.6075670143846
182,128.08999599999999,-47.46453112571271
8,112.529999,-759.3203040978196
142,123.739998,-219.26139849631818
200,128.759995,37.11238080055682
57,117.980003,-570.784244718242
100,127.910004,-396.3443376442674
134,123.980003,-228.07150286643537
119,117.010002,-310.8864061257127
104,127.480003,-329.38761157004865
87,125.510002,-411.32150668113263
232,121.480003,200.98019391090838
160,123.110001,-135.56547564475568
233,124.760002,201.861205873799
3,116.620003,-765.4873735329393
161,122.209999,-134.68447894065412
198,127.089996,35.35037213356463
86,123.440002,-412.2025110146287
193,131.020004,29.183311281513852
138,123.940002,-224.5474626442674
101,128.020004,-392.82029742209943
216,122.269997,117.28427105934588
181,129.179993,-48.345543088603335
1,119.980003,-767.2493926903489
173,125.25,-57.15564745872052
89,123.889999,-409.5594903847459
219,123.33000200000001,121.68933087379901
245,122.849998,215.95735150368182
11,110.0,-754.0342494866136
116,127.33000200000001,-313.52943438499005
121,117.559998,-307.36236590354474
202,126.790001,38.87441998512713
205,126.110001,43.279464540791196
